sensorcount,timestamp,hr
1.64604362735e+12,2022-02-28 11:20:27.352000,113
1.6460436276e+12,2022-02-28 11:20:27.598000,113
1.64604362785e+12,2022-02-28 11:20:27.846000,113
1.64604362809e+12,2022-02-28 11:20:28.091000,113
1.64604362834e+12,2022-02-28 11:20:28.338000,113
1.64604362858e+12,2022-02-28 11:20:28.584000,113
1.64604362883e+12,2022-02-28 11:20:28.830000,113
1.64604362908e+12,2022-02-28 11:20:29.077000,113
1.64604362932e+12,2022-02-28 11:20:29.323000,113
1.64604362957e+12,2022-02-28 11:20:29.569000,113
1.64604362982e+12,2022-02-28 11:20:29.816000,113
1.64604363006e+12,2022-02-28 11:20:30.062000,113
1.64604363031e+12,2022-02-28 11:20:30.308000,113
1.64604363056e+12,2022-02-28 11:20:30.555000,113
1.6460436308e+12,2022-02-28 11:20:30.801000,113
1.64604363105e+12,2022-02-28 11:20:31.046000,113
1.64604363129e+12,2022-02-28 11:20:31.293000,113
1.64604363154e+12,2022-02-28 11:20:31.539000,113
1.64604363179e+12,2022-02-28 11:20:31.785000,113
1.64604363203e+12,2022-02-28 11:20:32.032000,113
1.64604363228e+12,2022-02-28 11:20:32.278000,113
1.64604363253e+12,2022-02-28 11:20:32.524000,113
1.64604363277e+12,2022-02-28 11:20:32.770000,114
1.64604363302e+12,2022-02-28 11:20:33.016000,114
1.64604363326e+12,2022-02-28 11:20:33.263000,114
1.64604363351e+12,2022-02-28 11:20:33.509000,114
1.64604363376e+12,2022-02-28 11:20:33.755000,114
1.646043634e+12,2022-02-28 11:20:34.002000,114
1.64604363425e+12,2022-02-28 11:20:34.249000,114
1.6460436345e+12,2022-02-28 11:20:34.495000,114
1.64604363474e+12,2022-02-28 11:20:34.741000,114
1.64604363499e+12,2022-02-28 11:20:34.987000,114
1.64604363523e+12,2022-02-28 11:20:35.234000,114
1.64604363548e+12,2022-02-28 11:20:35.480000,114
1.64604363573e+12,2022-02-28 11:20:35.725000,114
1.64604363597e+12,2022-02-28 11:20:35.973000,114
1.64604363622e+12,2022-02-28 11:20:36.218000,114
1.64604363647e+12,2022-02-28 11:20:36.464000,114
1.64604363671e+12,2022-02-28 11:20:36.711000,114
1.64604363696e+12,2022-02-28 11:20:36.957000,114
1.6460436372e+12,2022-02-28 11:20:37.203000,114
1.64604363745e+12,2022-02-28 11:20:37.450000,114
1.6460436377e+12,2022-02-28 11:20:37.696000,114
1.64604363794e+12,2022-02-28 11:20:37.942000,114
1.64604363819e+12,2022-02-28 11:20:38.189000,112
1.64604363844e+12,2022-02-28 11:20:38.435000,112
1.64604363868e+12,2022-02-28 11:20:38.681000,111
1.64604363893e+12,2022-02-28 11:20:38.927000,111
1.64604363917e+12,2022-02-28 11:20:39.174000,106
1.64604363942e+12,2022-02-28 11:20:39.420000,106
1.64604363967e+12,2022-02-28 11:20:39.666000,106
1.64604363991e+12,2022-02-28 11:20:39.913000,104
1.64604364016e+12,2022-02-28 11:20:40.159000,104
1.64604364041e+12,2022-02-28 11:20:40.405000,105
1.64604364065e+12,2022-02-28 11:20:40.652000,105
1.6460436409e+12,2022-02-28 11:20:40.898000,105
1.64604364114e+12,2022-02-28 11:20:41.143000,105
1.64604364139e+12,2022-02-28 11:20:41.390000,107
1.64604364164e+12,2022-02-28 11:20:41.636000,107
1.64604364188e+12,2022-02-28 11:20:41.882000,107
1.64604364213e+12,2022-02-28 11:20:42.129000,108
1.64604364238e+12,2022-02-28 11:20:42.375000,108
1.64604364262e+12,2022-02-28 11:20:42.621000,109
1.64604364287e+12,2022-02-28 11:20:42.868000,109
1.64604364312e+12,2022-02-28 11:20:43.114000,109
1.64604364336e+12,2022-02-28 11:20:43.360000,109
1.64604364361e+12,2022-02-28 11:20:43.607000,109
1.64604364385e+12,2022-02-28 11:20:43.853000,109
1.6460436441e+12,2022-02-28 11:20:44.099000,109
1.64604364435e+12,2022-02-28 11:20:44.345000,109
1.64604364459e+12,2022-02-28 11:20:44.591000,109
1.64604364484e+12,2022-02-28 11:20:44.838000,109
1.64604364509e+12,2022-02-28 11:20:45.084000,109
1.64604364533e+12,2022-02-28 11:20:45.330000,110
1.64604364558e+12,2022-02-28 11:20:45.577000,110
1.64604364582e+12,2022-02-28 11:20:45.823000,111
1.64604364607e+12,2022-02-28 11:20:46.069000,111
1.64604364632e+12,2022-02-28 11:20:46.316000,112
1.64604364656e+12,2022-02-28 11:20:46.562000,112
1.64604364681e+12,2022-02-28 11:20:46.808000,114
